,star_ratings,review,reviewer,review_date
0,5,"The programming languages courses are by far the best Coursera courses that I've seen in my life.The teacher is passionate and really wants to teach programming 'idioms'. The syntax of a language, or the structure for that matter are not as relevant as the underlying idea. With this course you will learn to recognize the underlying patterns of programming. These patters will always be usefull, no matter the language or environment. I highly reccomend this course. ",By Arent S,"Feb 3, 2019"
1,5,"This course was awesome. I would caution you to take Dan's claim that ""Part A is almost as substantial as Part B and Part C combined"" with a grain of salt. This couldn't be further from the truth. Parts B and C are challenging, with the difficulty increasing as you progress further into the course. This makes the three part series an exceptional value. ",By Julie L,"Jun 5, 2019"
2,5,"Nice follow-up to the first course. I've seen Racket before, but seeing Racket structs used the way they were - relating them to ""creating a new datatype"" -  was an ""aha"" moment for me. It was also good for me to finally learn a little about about what ""macro hygiene"" was all about; how to use memoization; and to get some practice with streams. They also weren't kidding when they said that ""debugging an interpreter is an acquired skill"" :) Finally, the material on the soundness and completeness of a static type-checker was completely new to me, but I liked those concepts. The only caveat is that you should've taken Part A before, since this course often makes heavy, non-trivial references to ML, and other ideas taught in that course.",By Brandon I,"Feb 18, 2020"
3,5,"This is a great programming course. The instructor explained the key concepts extremely clear and concise. I found this course when reading the well-known SICP book (Structure and Interpretation of Computer Programs), and I was trying to pick up a scheme dialect, and found that several people suggest racket.However, the course is actually more interesting than racket itself. It covers lots of functional programming idioms, in a precise and systematic way. Also some concepts where I read in other places informally, such as ""thunk"", ""lazy evaluation"", ""infinite stream"" are explained with great clarity. It also makes reading SICP much easier.I wish there could be more courses like this in Coursera.",By xinxiao,"Aug 6, 2019"
4,5,"DO THIS COURSE. It brings together everything in part A. In particular, the final shorter week on the differences between Statically and dynamically typed languages is mind-bending and brilliant. ",By Julian M,"May 9, 2018"
5,5,"This entire course (A through C) is gold. Nothing to add, if you have the time, take it! Thanks so much to Dan an the team!",By Sean E,"Nov 6, 2018"
6,5,"Extremely enjoyable course! I wasn't exactly looking forward to using the Racket language --- I knew nothing about it, to be honest, but it really impressed me. A beautiful language. But the course is not really about the language used. It covers some interesting topics (delayed evaluation, streams, type systems) and contains two very nice homework assignments: the first is mostly focused on streams (which is actually quite a fun) and in the second one you implement an interpreter for a simple language that contains closures! ",By Lukáš H,"Mar 21, 2018"
7,5,"It's definitely harder than Part A - Racket with its LISP-like syntax was pretty daunting for me. I just can't imagine using it in production after using so many C-style languages, but I know that there are lots of Scheme and Clojure fans out there. But it was great to learn about dynamic typing, macros, and getting to deeply understand how interpreters work. That was a real wow moment!",By Greg G,"Mar 20, 2018"
8,5,"Fantastic sequel to the first course, it goes into a lot more functional programming idioms with Racket, and also reinforces old ideas. The second assignment where you write an interpreter will take a few days, but you'll understand how closures work in practice.I will say that Racket is very trippy, and it will take you deep into the FP jungle. Not everyone makes it out intact.",By Jack,"May 13, 2020"
9,5,"Courses I've taken on programming languages often focus on one language. You learn the different concepts for that one language but don't understand why the language chose those concepts and what the alternatives are. By covering three languages, this course integrates the concepts and their alternatives to give you a solid understanding of how languages work.   ",By Johnathan F,"Jan 15, 2018"
