,course_title,course_organization,course_URL,course_rating,course_difficulty,course_duration,course_review_count,course_skills
0,Generative AI with Large Language Models,DeepLearning.AI,/learn/generative-ai-with-llms,4.8,Intermediate,1 - 4 Weeks,1200,"Machine Learning, Natural Language Processing, Python Programming"
1,Generative AI for Everyone,DeepLearning.AI,/learn/generative-ai-for-everyone,4.9,Beginner,1 - 4 Weeks,18,
2,Foundations of Cybersecurity,Google,/learn/foundations-of-cybersecurity,4.9,Beginner,1 - 4 Weeks,11000,"Linux, Computer Programming, Leadership and Management, SQL"
3,Foundations of Project Management,Google,/learn/project-management-foundations,4.9,Beginner,1 - 4 Weeks,72900,"Project Management, Strategy and Operations, Business Communication, Change Management, Organizational Development, Communication, Culture, Emotional Intelligence, Influencing, Leadership and Management, People Management, Planning"
4,"Foundations: Data, Data, Everywhere",Google,/learn/foundations-data,4.8,Beginner,1 - 3 Months,93000,"Data Analysis, SQL, Data Visualization, Business Analysis, Spreadsheet Software, Data Science, Databases, Microsoft Excel"
5,Prompt Engineering for ChatGPT,Vanderbilt University,/learn/prompt-engineering,4.8,Beginner,1 - 3 Months,1600,"Creativity, Problem Solving, Writing"
6,Technical Support Fundamentals,Google,/learn/technical-support-fundamentals,4.8,Beginner,1 - 3 Months,145100,"Communication, Computer Architecture, Computer Networking, Customer Support, Networking Hardware"
7,Supervised Machine Learning: Regression and Classification,DeepLearning.AI,/learn/machine-learning,4.9,Beginner,1 - 4 Weeks,14700,"Machine Learning, Machine Learning Algorithms, Regression, Applied Machine Learning, Algorithms, Statistical Machine Learning, Mathematics, Critical Thinking, Machine Learning Software, Python Programming"
8,AI For Everyone,DeepLearning.AI,/learn/ai-for-everyone,4.8,Beginner,1 - 4 Weeks,39300,"Data Science, Deep Learning, Machine Learning, Artificial Neural Networks, Business Transformation, Human Learning, Planning, Project Management"
9,Foundations of Digital Marketing and E-commerce,Google,/learn/foundations-of-digital-marketing-and-e-commerce,4.8,Beginner,1 - 4 Weeks,15200,"Digital Marketing, Marketing, E-Commerce, Strategy, Data Analysis, Social Media"
10,Play It Safe: Manage Security Risks,Google,/learn/manage-security-risks,4.8,Beginner,1 - 4 Weeks,3300,"Audit, Leadership and Management, Risk Management"
11,Foundations of User Experience (UX) Design,Google,/learn/foundations-user-experience-design,4.8,Beginner,1 - 4 Weeks,59900,"User Experience, User Experience Design, User Research, Product Development"
12,Ask Questions to Make Data-Driven Decisions,Google,/learn/ask-questions-make-decisions,4.7,Beginner,1 - 4 Weeks,28400,"Business Communication, Data Analysis, Spreadsheet Software, Big Data, Communication, Leadership and Management, Problem Solving, Small Data"
13,Project Initiation: Starting a Successful Project,Google,/learn/project-initiation-google,4.8,Beginner,1 - 4 Weeks,17500,"Project Management, Strategy and Operations, Collaboration, Communication, Leadership and Management, Planning"
14,Indigenous Canada,University of Alberta,/learn/indigenous-canada,4.8,Mixed,1 - 3 Months,21500,Critical Thinking
15,Connect and Protect: Networks and Network Security,Google,/learn/networks-and-network-security,4.8,Beginner,1 - 4 Weeks,1800,"Network Security, Cloud Computing, Network Architecture"
16,Become a CBRS Certified Professional Installer by Google,Google - Spectrum Sharing,/learn/google-cbrs-cpi-training,4.6,Mixed,1 - 3 Months,184,"Communication, SAS (Software), Regulations and Compliance, Systems Design, System Security, Network Architecture, Process Analysis, Training, Decision Making, Operating Systems, Leadership and Management"
17,The Bits and Bytes of Computer Networking,Google,/learn/computer-networking,4.7,Beginner,1 - 3 Months,46200,"Computer Networking, Network Architecture, Network Model, Networking Hardware, Network Analysis, Critical Thinking, Problem Solving, Computer Architecture, Human Computer Interaction, Network Security, Cloud Computing"
18,Financial Markets,Yale University,/learn/financial-markets-global,4.8,Beginner,1 - 3 Months,26000,"Finance, Investment Management, Risk Management, Banking, Behavioral Economics, Critical Thinking, Decision Making, Financial Analysis, Innovation, Regulations and Compliance, Leadership and Management"
19,Advanced Learning Algorithms,DeepLearning.AI,/learn/advanced-learning-algorithms,4.9,Beginner,1 - 4 Weeks,3800,"Applied Machine Learning, Machine Learning, Machine Learning Algorithms, Algorithms, Artificial Neural Networks, Deep Learning, Network Model, Tensorflow, Machine Learning Software, Python Programming"
20,Neural Networks and Deep Learning,DeepLearning.AI,/learn/neural-networks-deep-learning,4.9,Intermediate,1 - 4 Weeks,119900,"Artificial Neural Networks, Deep Learning, Machine Learning, Machine Learning Algorithms, Python Programming, Computer Programming, Network Model, Calculus, Human Learning, Regression, Linear Algebra, Mathematics"
21,Prepare Data for Exploration,Google,/learn/data-preparation,4.8,Beginner,1 - 3 Months,17200,"Data Management, Data Analysis, Databases, Microsoft Excel, SQL, Spreadsheet Software"
22,Tools of the Trade: Linux and SQL,Google,/learn/linux-and-sql,4.8,Beginner,1 - 4 Weeks,1500,"Linux, Databases, SQL"
23,"Start the UX Design Process: Empathize, Define, and Ideate",Google,/learn/start-ux-design-process,4.8,Beginner,1 - 4 Weeks,13300,"Audit, Collaboration, Human Computer Interaction, User Experience, User Experience Design, User Research"
24,Attract and Engage Customers with Digital Marketing,Google,/learn/attract-and-engage-customers,4.8,Beginner,1 - 4 Weeks,4000,"Digital Marketing, Marketing, Search Engine Optimization, Marketing Management, Advertising, Media Strategy & Planning, Persona Research, Web Design, Web Development, Web Development Tools"
25,ChatGPT Advanced Data Analysis,Vanderbilt University,/learn/chatgpt-advanced-data-analysis,4.9,Beginner,1 - 3 Months,77,Data Analysis
26,Project Planning: Putting It All Together,Google,/learn/project-planning-google,4.8,Beginner,1 - 3 Months,10500,"Project Management, Strategy and Operations, Leadership and Management, Entrepreneurship, Finance, Planning, Supply Chain and Logistics, Budget Management, Communication, Risk Management, Procurement"
27,What is Data Science?,IBM,/learn/what-is-datascience,4.7,Beginner,1 - 4 Weeks,65800,"Data Science, Data Mining, Big Data, Data Analysis, Deep Learning, Human Learning, Machine Learning, Regression, Writing"
28,Writing in the Sciences,Stanford University,/learn/sciwrite,4.9,Beginner,1 - 3 Months,8100,Writing
29,The Science of Well-Being,Yale University,/learn/the-science-of-well-being,4.9,Mixed,1 - 3 Months,36800,
30,Introduction to Psychology,Yale University,/learn/introduction-psychology,4.9,Beginner,1 - 3 Months,27000,Critical Thinking
31,Introduction to Data Analytics,IBM,/learn/introduction-to-data-analytics,4.8,Beginner,1 - 3 Months,13300,"Data Analysis, Data Management, Data Structures, Data Visualization, Databases, Python Programming, SQL, Data Mining, Data Science, NoSQL, R Programming, Microsoft Excel"
32,Introduction to Statistics,Stanford University,/learn/stanford-statistics,4.6,Beginner,1 - 3 Months,2600,"General Statistics, Probability & Statistics, Statistical Analysis, Critical Thinking, Basic Descriptive Statistics, Data Analysis, Statistical Tests, Probability Distribution, Problem Solving, Statistical Visualization"
33,Leadership Skills,IIMA - IIM Ahmedabad,/learn/leadershipskills,4.8,Beginner,1 - 3 Months,817,"Communication, Leadership and Management, People Management"
34,Operating Systems and You: Becoming a Power User,Google,/learn/os-power-user,4.7,Beginner,1 - 3 Months,26400,"Linux, Leadership and Management, Operating Systems"
35,Process Data from Dirty to Clean,Google,/learn/process-data,4.8,Beginner,1 - 3 Months,13100,"Data Analysis, SQL, Spreadsheet Software, General Statistics, Databases, Extract, Transform, Load"
36,Linear Algebra for Machine Learning and Data Science,DeepLearning.AI,/learn/machine-learning-linear-algebra,4.5,Beginner,1 - 4 Weeks,900,"Algebra, Linear Algebra, Mathematics, Python Programming, Critical Thinking, Dimensionality Reduction, Machine Learning Algorithms, Mathematical Theory & Analysis, Machine Learning"
37,"HTML, CSS, and Javascript for Web Developers",Johns Hopkins University,/learn/html-css-javascript-for-web-developers,4.7,Mixed,1 - 3 Months,15800,"Front-End Web Development, HTML and CSS, Javascript, Web Development"
38,Agile Project Management,Google,/learn/agile-project-management,4.8,Beginner,1 - 4 Weeks,10200,"Agile Software Development, Software Engineering, Project Management, Scrum (Software Development), Strategy and Operations, Collaboration, Leadership and Management, Communication, Entrepreneurship, Product Management, Influencing, Problem Solving"
39,Crash Course on Python,Google,/learn/python-crash-course,4.8,Beginner,1 - 3 Months,34300,"Computer Programming, Data Structures, Problem Solving, Python Programming"
40,"Assets, Threats, and Vulnerabilities",Google,/learn/assets-threats-and-vulnerabilities,4.8,Beginner,1 - 4 Weeks,898,"Cryptography, Linux"
41,"Unsupervised Learning, Recommenders, Reinforcement Learning",DeepLearning.AI,/learn/unsupervised-learning-recommenders-reinforcement-learning,4.9,Beginner,1 - 4 Weeks,1900,"Algorithms, Machine Learning, Machine Learning Algorithms, Applied Machine Learning, Human Learning, Deep Learning, Machine Learning Software, Mathematics, Reinforcement Learning, Tensorflow"
42,"Python for Data Science, AI & Development",IBM,/learn/python-for-applied-data-science-ai,4.6,Beginner,1 - 3 Months,33700,"Python Programming, Computer Programming, Data Analysis"
43,Private Equity and Venture Capital,Università Bocconi,/learn/private-equity,4.8,Mixed,1 - 3 Months,7800,"Business Analysis, Entrepreneurial Finance, Finance, Financial Management, Investment Management, Mergers & Acquisitions, Entrepreneurship, Decision Making, Risk Management, Strategy"
44,Project Execution: Running the Project,Google,/learn/project-execution-google,4.8,Beginner,1 - 3 Months,6900,"Leadership and Management, Communication, Project Management, Strategy and Operations, Business Communication, Collaboration, Risk Management, Planning"
45,Introduction to Generative AI,Google Cloud,/learn/introduction-to-generative-ai,4.6,Beginner,1 - 4 Weeks,1800,"Artificial Neural Networks, Deep Learning, Machine Learning"
46,Organizational Analysis,Stanford University,/learn/organizational-analysis,4.6,Beginner,1 - 3 Months,1400,"Leadership and Management, Organizational Development, Strategy, Strategy and Operations, Decision Making, Business Psychology, Change Management, Culture, Business Analysis, Business Process Management"
47,Business Analytics with Excel: Elementary to Advanced,Johns Hopkins University,/learn/business-analytics-excel,4.8,Intermediate,1 - 3 Months,1000,"Business Analysis, Data Analysis, Data Visualization, Spreadsheet Software, Data Model, Decision Making, Microsoft Excel, Process Analysis, Statistical Visualization"
48,Successful Negotiation: Essential Strategies and Skills,University of Michigan,/learn/negotiation-skills,4.8,Beginner,1 - 3 Months,18700,"Contract Management, Negotiation, Communication, Decision Making, Strategy"
49,OKR Certification: Leadership and Goal Setting,Measure What Matters,/learn/okr,4.9,Beginner,1 - 4 Weeks,306,"Leadership and Management, Strategy, Strategy and Operations, Business Transformation, Communication, Organizational Development, Professional Development, Critical Thinking, Leadership Development, Performance Management, Planning"
50,Introduction to Artificial Intelligence (AI),IBM,/learn/introduction-to-ai,4.7,Beginner,1 - 4 Weeks,11600,"Algorithms, Applied Machine Learning, Artificial Neural Networks, Computer Vision, Deep Learning, Human Learning, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Critical Thinking, Data Science"
51,System Administration and IT Infrastructure Services,Google,/learn/system-administration-it-infrastructure-services,4.7,Beginner,1 - 3 Months,23600,"Cloud Computing, Leadership and Management"
52,Psychological First Aid,Johns Hopkins University,/learn/psychological-first-aid,4.8,Mixed,1 - 3 Months,18400,
53,Tools for Data Science,IBM,/learn/open-source-tools-for-data-science,4.5,Beginner,1 - 3 Months,27500,"Data Science, R Programming, Cloud Computing, Computer Programming, IBM Cloud, Python Programming"
54,Analyze Data to Answer Questions,Google,/learn/analyze-data,4.6,Beginner,1 - 4 Weeks,9500,"Data Analysis, Data Management, Microsoft Excel, SQL, Spreadsheet Software"
55,Sound the Alarm: Detection and Response,Google,/learn/detection-and-response,4.8,Beginner,1 - 4 Weeks,665,"Linux, Network Security, Computer Security Incident Management, Leadership and Management"
56,Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,Yale University,/learn/negotiation,4.9,Mixed,1 - 3 Months,4700,"Negotiation, Game Theory, Strategy"
57,Stanford Introduction to Food and Health,Stanford University,/learn/food-and-health,4.7,Beginner,1 - 3 Months,30100,
58,Fundamentals of Project Planning and Management,University of Virginia,/learn/uva-darden-project-management,4.7,Beginner,1 - 4 Weeks,9200,"Project Management, Strategy and Operations, Leadership and Management, Planning"
59,Game Theory,Stanford University,/learn/game-theory-1,4.6,Beginner,1 - 3 Months,4500,"Decision Making, Game Theory, General Statistics, Problem Solving, Critical Thinking, Mathematical Theory & Analysis"
60,"Improving Deep Neural Networks: Hyperparameter Tuning, Regularization and Optimization",DeepLearning.AI,/learn/deep-neural-network,4.9,Intermediate,1 - 4 Weeks,62500,"Applied Machine Learning, Deep Learning, Machine Learning, Artificial Neural Networks, Machine Learning Algorithms, Algorithms, Computer Programming, Mathematics, Python Programming, Mathematical Theory & Analysis, Tensorflow, Human Learning"
61,Excel Basics for Data Analysis,IBM,/learn/excel-basics-data-analysis-ibm,4.8,Beginner,1 - 3 Months,6600,"Microsoft Excel, Spreadsheet Software, Data Analysis, Data Science"
62,From Likes to Leads: Interact with Customers Online,Google,/learn/from-likes-to-leads,4.8,Beginner,1 - 3 Months,2100,"Digital Marketing, Marketing, Marketing Management, Media Strategy & Planning, Social Media, Advertising, Data Analysis, Strategy"
63,Foundations of Data Science,Google,/learn/foundations-of-data-science,4.7,Advanced,1 - 3 Months,1200,"Communication, Data Analysis, Planning, Project Management"
64,Instructional Design Foundations and Applications,University of Illinois at Urbana-Champaign,/learn/instructional-design-foundations-applications,4.0,Mixed,1 - 3 Months,635,
65,Programming for Everybody (Getting Started with Python),University of Michigan,/learn/python,4.8,Beginner,1 - 3 Months,224600,"Algorithms, Computational Logic, Computer Programming, Computer Programming Tools, Critical Thinking, Problem Solving, Programming Principles, Python Programming, Software Engineering, Theoretical Computer Science"
66,Foundations of Business Intelligence,Google,/learn/foundations-of-business-intelligence,4.8,Advanced,1 - 4 Weeks,631,"Business Intelligence, Leadership and Management"
67,Automate Cybersecurity Tasks with Python,Google,/learn/automate-cybersecurity-tasks-with-python,4.8,Beginner,1 - 4 Weeks,656,"Python Programming, Computer Programming"
68,Introduction to Cloud Computing,IBM,/learn/introduction-to-cloud,4.6,Beginner,1 - 3 Months,4600,"Cloud Computing, Cloud Applications, Cloud Infrastructure, Cloud Platforms, Cloud Storage, DevOps, IBM Cloud"
69,"Brand Management: Aligning Business, Brand and Behaviour",University of London,/learn/brand,4.9,Beginner,1 - 3 Months,6900,"Brand Management, Leadership and Management, Marketing"
70,Management of Fashion and Luxury Companies,Università Bocconi,/learn/mafash,4.7,Mixed,1 - 3 Months,5600,"Brand Management, Leadership and Management, Marketing, Retail Sales, Strategy, Business Analysis, Communication, Design and Product, Market Analysis, Media Strategy & Planning, Product Design"
71,Diversity and inclusion in the workplace,ESSEC Business School,/learn/diversity-inclusion-workplace,4.7,Beginner,1 - 4 Weeks,903,"Human Resources, Leadership and Management, Organizational Development, Change Management, Critical Thinking, Employee Relations, People Analysis, Professional Development, Talent Management, Performance Management, Training"
